nct_id,brief_title,official_title,overall_status,start_date,sponsor,condition,phase,intervention_name,intervention_type,primary_outcome,secondary_outcome,country,study_type,enrollment
NCT06770504,A Study of YTS109 Cell Injection in Subjects With Relapsed/Refractory Autoimmune Hemolytic Anemia,The Safety and Efficacy of YTS109 Cell Injection for Relapsed/Refractory Autoimmune Hemolytic Anemia Patients After Receiving Three or More Lines of Therapy.,NOT_YET_RECRUITING,2025-01-16,"Institute of Hematology & Blood Diseases Hospital, China",Autoimmune Hemolytic Anemia | Anti-CD19 STAR T-cell Therapy | Failure ≥3 Lines of Therapies,PHASE1,YTS109,BIOLOGICAL,Dose Limiting Toxicity | The incidence and frequency of treatment-emergent adverse events | Best overall response rate (BOR) of each dose group | Objective response rate (ORR) of each dose group | Time to response (TTR),,,INTERVENTIONAL,7
NCT04688502,Effects of Wearing a Face Mask During CrossFit Exercise,The Effects of Wearing a Face Mask During COVID-19 on Performance and Intensity Markers During CrossFit Exercise,WITHDRAWN,2022-06-11,University of Saskatchewan,Dyspnea,NA,High intensity interval training + Continuous exercise training,OTHER,"Change from baseline in box jumps | Change from baseline in pull-up, push-up, and squat repetitions",Change from baseline in rating of perceived exertion | Change from baseline in heart rate | Change from baseline in dyspnea,Canada,INTERVENTIONAL,0
NCT01108705,Comparison of Brivanib and Best Supportive Care (BSC) With Placebo and BSC for Treatment of Liver Cancer in Asian Patients Who Have Failed Sorafenib Treatment,"A Randomized, Double-blind, Multi-center Phase III Study of Brivanib Plus Best Supportive Care (BSC) Versus Placebo Plus BSC in Asian Subjects With Advanced Hepatocellular Carcinoma (HCC) Who Have Failed or Are Intolerant to Sorafenib",TERMINATED,2010-05,Bristol-Myers Squibb,"Carcinoma, Hepatocellular",PHASE3,Brivanib + Placebo,DRUG,Compare overall survival of subjects with advanced HCC who have progressed on/after or are intolerant to sorafenib and receive brivanib plus best supportive care (BSC) to those receiving placebo plus BSC,"Compare time to progression (TTP) using modified RECIST for HCC | Compare objective response rate (ORR) and disease control rate (DCR) using modified RECIST for HCC | Assess duration of response, duration of disease control and time to response | Assess serious and nonserious adverse events, laboratory evaluations, significant physical examination findings and ECG results","China, Singapore, South Korea, Taiwan",INTERVENTIONAL,87
NCT00002185,"A Pilot, Open-Label, Phase II, Randomized Study to Determine the Effects of Viracept on the Outcome of Cutaneous and Mucosal KS in AIDS Patients With CD4 <= 500 Cells/mm3","A Pilot, Open-Label, Phase II, Randomized Study to Determine the Effects of Viracept on the Outcome of Cutaneous and Mucosal KS in AIDS Patients With CD4 <= 500 Cells/mm3",COMPLETED,,Agouron Pharmaceuticals,"Sarcoma, Kaposi | HIV Infections",PHASE2,Nelfinavir mesylate,DRUG,,,United States,INTERVENTIONAL,20
NCT06297148,The HIP Self-management Study,Self-management Program for Greater Trochanteric Pain Syndrome: a Randomized Controlled Trial,ACTIVE_NOT_RECRUITING,2024-03-12,Oslo University Hospital,GTPS - Greater Trochanteric Pain Syndrome | Gluteal Tendinopathy | Trochanteric Bursitis | Lateral Hip Pain,NA,Self-management + Usual care,OTHER,Victorian Institute of Sport Assessment Gluteal Questionnaire (VISA-G),Numeric rating scale (NRS) | Painful sites | The Pain Self-Efficacy Questionnaire (PSEQ) | EuroQoL-5 dimensions-5 Level (Eq-5D-5L) | Hopkins Symptoms checklist-10 (HSCL-10) | iMTA Medical Consumption Questionnaire (iMCQ) | iMTA Productivity Cost Questionnaire (iPCQ) | Expectations related to VISA-G | Expectations on numeric rating scale (NRS) | Global rating of change (GROC) | Patient acceptable symptom state (PASS),Norway,INTERVENTIONAL,110
NCT02537392,Multi-micronutrient Supplementation During Peri-conception and Congenital Heart Disease,Primary Prevention of Multi-micronutrient Supplementation During Peri-conception Against Congenital Heart Disease: A Community-based Randomised Controlled Trial in China,COMPLETED,2015-09,Xi'an Jiaotong University,Congenital Heart Disease,NA,Vitamin B Complex and Folic Acid + Iron and Folic Acid + Folic Acid,DIETARY_SUPPLEMENT,Neonatal pulse oximetry oxygen saturation measured by pulse oximetry,"Incidence of congenital heart disease and the subtypes | Incidence of birth defects and the subtypes | Birth weight measured by baby scale | Incidence of low birth weight | Gestational age at birth | Incidence of preterm birth | Incidence of perinatal mortality | Incidence of stillbirth | Incidence of neonatal mortality | Incidence of early neonatal mortality | Incidence of pregnancy complications: hypertension, preeclampsia, antepartum haemorrhage, and infections",China,INTERVENTIONAL,7315
NCT01976949,Evaluation of a Social-networking Intervention to Reduce Cancer-related Distress,Evaluation of a Social-networking Intervention to Reduce Cancer-related Distress,COMPLETED,2009-07,Loma Linda University,Cancer Survivors With Clinically Significant Distress,NA,online social-networking intervention,BEHAVIORAL,Change in -Overall Psychological Functioning (OQ-45) | Change in-Center for Epidemiologic Studies Depress (CES-D) scale | Anxiety,Fatigue | Vigor,United States,INTERVENTIONAL,347
NCT01837641,A Study of LY3002813 in Participants With Alzheimer's Disease,"A Single-Dose and Multiple-Dose, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of LY3002813 in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease or Mild to Moderate Alzheimer's Disease",COMPLETED,2013-05-03,Eli Lilly and Company,Alzheimer Disease,PHASE1,LY3002813-IV + LY3002813-SC + Placebo-IV,BIOLOGICAL; DRUG,Number of Participants With One or More Serious Adverse Events (SAEs) Considered by the Investigator to be Related to Study Drug Administration,Pharmacokinetics: Maximum Concentration (Cmax) of LY3002813 | Pharmacokinetics: Area Under the Concentration Versus Time Curve From Time Zero to Infinity [AUC(0-∞)] of LY3002813,"Japan, United States",INTERVENTIONAL,63
NCT02073006,A Study to Evaluate the Effects of a Natural Supplement in Adults With Chronic Functional Constipation,"A Randomised, Double-blind, Placebo-Controlled, Parallel Study to Evaluate the Effects of Lepicol® in Adults With Chronic, Functional Constipation",COMPLETED,2014-02,Atlantia Food Clinical Trials,Constipation,"PHASE2, PHASE3",Natural Fibre Supplement,DIETARY_SUPPLEMENT,Number of bowel movements per week,"Stool consistency, as measured by the Bristol Stool Form Scale | Quality of life as measured by the Quality of Life Questionnaire (PAC-QOL) | Constipation symptoms as measured by PAC-SYM | Laxative use by subjects with functional constipation",Ireland,INTERVENTIONAL,70
NCT05931627,Tourniquet Use in Anterior Cruciate Ligament Repair,The Implications of Tourniquet Use on Early Quadriceps Function in Anterior Cruciate Ligament Reconstructions: A Randomized Controlled Trial,ENROLLING_BY_INVITATION,2024-03-08,"OrthoCarolina Research Institute, Inc.",ACL - Anterior Cruciate Ligament Deficiency | ACL Injury | ACL Tear,NA,Patients undergoing ACL reconstruction with or without a tourniquet,PROCEDURE,Limb symmetry index (LSI),Arthroscopic visibility | Operative time | Intra-operative opioid requirements | PACU opioid requirements | Post-operative pain in PACU | LSI of peak strength and rate of torque development of the quadriceps | LSI of peak strength and rate of torque development of the quadriceps | Quadriceps circumference | Number of days post-operatively until the patient can complete a straight leg raise with no extensor lag at physical therapy. | Number of days post-operatively until the patient can actively hyper-extend their knee at physical therapy. | IKDC and the Marx Activity Rating Scale scores | IKDC and the Marx Activity Rating Scale scores | Limb symmetry index (LSI) | Limb symmetry index (LSI),United States,INTERVENTIONAL,34
